date,electricity_usage_kwh,water_usage_liters,waste_generated_kg,department
2024-01-01,420,1500,85,Production
2024-01-02,390,1420,78,Production
2024-01-05,380,1300,72,IT
2024-01-06,500,1700,105,Logistics
2024-01-07,460,1550,88,Production
2024-01-08,430,1490,82,IT
2024-01-09,470,1620,96,Logistics
2024-01-10,415,1410,79,Production
2024-01-11,395,1350,74,IT
2024-01-12,480,1660,98,Logistics
2024-01-13,440,1530,87,Production
2024-01-14,520,1780,112,Logistics
2024-01-15,400,1370,76,IT
2024-01-16,425,1440,81,Production
2024-01-17,445,1560,90,Logistics
2024-01-18,510,1720,108,Production
2024-01-19,435,1500,85,IT
2024-01-20,460,1590,93,Logistics
2024-01-21,405,1360,77,IT
2024-01-22,490,1680,101,Production
2024-01-23,475,1640,95,Logistics
2024-01-24,415,1400,80,IT
2024-01-25,530,1800,115,Logistics
2024-01-26,450,1520,88,Production
2024-01-27,420,1460,83,IT
2024-01-28,485,1670,99,Logistics
2024-01-29,445,1510,86,Production
2024-01-30,465,1600,94,Logistics
